appraisal_id,employee_id,reviewer_employee_id,appraisal_date,overall_rating,promotion_recommended
1,1,12,2024-04-05,3,False
2,1,12,2023-10-18,3,False
3,1,12,2024-02-24,5,False
4,2,8,2023-09-20,3,False
5,2,8,2024-04-08,4,False
6,2,8,2024-01-05,5,False
7,3,21,2023-12-11,4,False
8,4,3,2025-05-23,4,False
9,4,3,2026-03-22,3,False
10,5,14,2025-04-18,5,True
11,5,14,2025-01-12,3,False
12,5,14,2024-06-29,3,False
13,6,8,2025-06-15,3,False
14,6,8,2026-05-12,3,False
15,6,8,2023-11-12,2,False
16,7,20,2024-03-11,2,False
17,7,20,2024-11-29,4,False
18,7,20,2025-07-20,4,True
19,8,3,2025-12-05,4,True
20,8,3,2026-03-09,1,False
21,8,3,2025-04-09,4,True
22,9,8,2026-05-16,4,True
23,9,8,2025-12-01,3,False
24,9,8,2025-04-10,4,True
25,10,6,2025-06-28,3,False
26,10,6,2024-07-24,3,False
27,10,6,2024-10-08,5,False
28,12,8,2024-07-08,4,False
29,12,8,2025-06-03,4,False
30,12,8,2025-12-29,5,True
31,13,11,2023-07-06,2,False
32,13,11,2023-07-25,4,False
33,13,11,2024-03-08,3,False
34,15,7,2025-04-18,4,True
35,15,7,2025-04-19,4,False
36,15,7,2024-02-07,4,False
37,17,11,2023-11-09,5,False
38,17,11,2025-11-08,4,False
39,17,11,2023-07-17,3,False
40,18,11,2025-11-29,3,False
41,18,11,2024-08-10,3,False
42,18,11,2025-05-23,3,False
43,19,15,2026-02-27,3,False
44,19,15,2025-04-11,5,True
45,20,18,2023-11-20,4,False
46,20,18,2025-04-17,3,False
47,20,18,2026-06-24,3,False
48,21,19,2025-06-29,4,False
49,22,5,2025-05-08,4,False
50,22,5,2024-10-26,3,False
51,22,5,2025-10-14,4,False
52,23,5,2025-09-18,4,False
53,23,5,2026-04-17,3,False
54,23,5,2024-06-04,4,False
55,25,17,2025-04-22,4,True
56,26,4,2026-06-24,3,False
57,26,4,2025-06-15,4,False
58,26,4,2023-07-26,4,True
59,27,10,2026-02-07,4,False
60,28,24,2025-04-20,3,False
61,28,24,2024-04-11,4,False
62,29,4,2024-07-17,3,False
63,29,4,2024-05-03,4,False
64,29,4,2024-07-14,4,False
65,30,7,2025-09-22,2,False
66,31,25,2025-04-09,3,False
67,31,25,2025-12-28,4,False
68,31,25,2025-05-13,4,False
69,32,4,2024-01-29,3,False
70,32,4,2023-10-02,4,True
71,32,4,2024-11-29,1,False
72,33,16,2023-09-16,4,False
73,33,16,2023-09-14,3,False
74,33,16,2024-04-14,4,False
75,34,9,2023-12-16,4,False
76,34,9,2024-07-21,5,False
77,35,11,2026-05-21,4,False
78,35,11,2023-12-20,4,False
79,36,14,2026-06-19,4,True
80,37,24,2025-08-30,4,False
81,37,24,2025-08-05,5,False
82,37,24,2024-03-27,5,False
83,38,15,2023-09-05,3,False
84,38,15,2026-05-17,4,False
85,39,15,2024-01-05,4,False
86,39,15,2026-04-25,1,False
87,39,15,2026-03-28,4,False
88,40,4,2026-05-04,5,False
89,40,4,2025-05-03,4,False
90,40,4,2025-07-13,4,False
91,41,5,2026-05-24,4,False
92,41,5,2023-11-16,3,False
93,41,5,2024-06-14,5,False
94,42,35,2026-06-28,4,False
95,43,16,2026-03-22,4,False
96,44,7,2023-08-07,2,False
97,44,7,2025-11-14,4,False
98,44,7,2025-10-30,3,False
99,45,4,2023-10-27,3,False
100,45,4,2025-05-25,3,False
101,45,4,2026-01-25,4,True
102,46,7,2025-03-31,4,True
103,46,7,2024-06-27,4,True
104,46,7,2023-08-19,3,False
105,47,9,2023-10-10,3,False
106,47,9,2025-10-26,4,False
107,47,9,2024-04-07,4,False
108,48,5,2025-02-20,3,False
109,48,5,2026-01-28,4,False
110,48,5,2024-03-29,4,True
111,49,42,2024-11-07,3,False
112,50,32,2025-02-23,4,False
113,50,32,2026-03-12,3,False
114,50,32,2024-02-23,3,False
115,51,11,2024-06-05,5,True
116,51,11,2023-10-17,3,False
117,51,11,2025-05-11,4,True
118,52,51,2024-05-06,3,False
119,52,51,2024-02-13,4,True
120,52,51,2024-07-29,2,False
121,53,47,2024-11-17,4,False
122,53,47,2024-10-27,3,False
123,53,47,2025-02-17,4,False
124,54,4,2025-11-14,3,False
125,54,4,2024-09-04,4,False
126,54,4,2025-08-08,3,False
127,55,31,2024-03-27,4,True
128,55,31,2024-05-06,3,False
129,56,12,2025-03-06,4,False
130,56,12,2025-11-06,2,False
131,57,16,2024-11-12,4,True
132,57,16,2025-02-14,3,False
133,57,16,2025-10-26,2,False
134,58,39,2026-03-20,4,False
135,59,38,2024-06-19,4,False
136,59,38,2023-07-05,4,True
137,59,38,2026-04-02,1,False
138,60,21,2025-03-09,1,False
139,60,21,2024-09-15,4,False
140,60,21,2025-11-05,3,False
141,61,42,2025-11-18,3,False
142,61,42,2024-01-20,3,False
143,61,42,2024-03-07,3,False
144,62,60,2023-07-07,4,False
145,62,60,2024-01-03,4,False
146,62,60,2026-02-12,3,False
147,63,37,2023-10-13,2,False
148,63,37,2026-05-29,2,False
149,64,17,2026-01-02,3,False
150,65,24,2023-12-10,4,False
151,65,24,2023-09-22,3,False
