contract_id,employee_id,contract_type,fte_percentage,base_salary,start_date,end_date
1,1,Permanent,80.0,116297.52,2018-10-12,
2,2,Fixed-term,50.0,108181.64,2020-01-24,
3,3,Fixed-term,100.0,129629.25,2023-03-26,2024-01-01
4,4,Permanent,100.0,128874.38,2024-03-01,
5,5,Fixed-term,80.0,117581.86,2023-03-16,2025-03-24
6,5,Permanent,100.0,101190.77,2025-03-24,
7,6,Permanent,80.0,111119.32,2020-04-15,
8,7,Permanent,50.0,113023.7,2020-03-29,
9,8,Permanent,100.0,96703.02,2019-07-16,
10,9,Permanent,100.0,88260.25,2021-06-19,
11,10,Fixed-term,100.0,78969.28,2019-05-20,
12,11,Fixed-term,100.0,96851.35,2019-04-12,2021-03-18
13,11,Permanent,80.0,89717.23,2021-03-18,2022-01-29
14,12,Fixed-term,100.0,81144.29,2019-08-19,2020-12-02
15,12,Permanent,100.0,102392.45,2020-12-02,
16,13,Fixed-term,100.0,84774.96,2022-08-26,2023-02-16
17,13,Permanent,100.0,81930.38,2023-02-16,
18,14,Intern,80.0,82589.56,2026-03-01,
19,15,Fixed-term,100.0,89712.53,2021-03-30,2026-04-16
20,15,Permanent,80.0,91437.02,2026-04-16,
21,16,Permanent,100.0,95223.43,2026-03-20,
22,17,Permanent,100.0,102332.65,2021-01-25,
23,18,Permanent,50.0,89926.7,2019-03-30,
24,19,Intern,100.0,95251.34,2024-02-05,
25,20,Permanent,100.0,100823.21,2020-01-24,
26,21,Fixed-term,100.0,80879.64,2025-01-20,
27,22,Permanent,100.0,85988.55,2020-12-16,
28,23,Permanent,100.0,65136.49,2019-01-10,
29,24,Permanent,100.0,77374.48,2026-02-17,
30,25,Permanent,80.0,73783.69,2025-03-07,
31,26,Permanent,100.0,64516.3,2018-08-18,
32,27,Permanent,50.0,81488.5,2025-09-08,
33,28,Permanent,100.0,58867.48,2023-08-03,2025-11-09
34,29,Permanent,50.0,81650.32,2020-07-02,
35,30,Fixed-term,80.0,63220.66,2025-08-31,
36,31,Permanent,100.0,71046.66,2020-04-23,
37,32,Permanent,100.0,81765.27,2022-02-18,
38,33,Permanent,100.0,78910.05,2021-12-12,
39,34,Permanent,80.0,77607.94,2023-12-13,
40,35,Fixed-term,100.0,67510.15,2023-10-30,
