leave_id,employee_id,leave_type_id,start_date,end_date,days_taken,status
1,1,4,2024-07-30,2024-07-31,2,Approved
2,1,1,2025-09-16,2025-09-18,3,Approved
3,1,3,2026-04-21,2026-04-21,1,Approved
4,1,1,2026-02-07,2026-02-07,1,Approved
5,1,1,2024-07-10,2024-07-11,2,Rejected
6,1,2,2025-01-08,2025-01-17,10,Approved
7,2,2,2025-08-02,2025-08-02,1,Approved
8,2,1,2025-07-24,2025-07-28,5,Approved
9,2,1,2024-06-25,2024-06-25,1,Approved
10,4,2,2025-06-16,2025-06-25,10,Pending
11,4,4,2025-08-20,2025-08-20,1,Approved
12,4,1,2024-11-15,2024-11-15,1,Pending
13,5,1,2026-02-11,2026-02-20,10,Approved
14,5,2,2024-09-25,2024-09-29,5,Approved
15,5,1,2024-05-17,2024-05-21,5,Pending
16,5,1,2024-08-09,2024-08-13,5,Approved
17,6,1,2025-12-29,2026-01-02,5,Rejected
18,6,1,2024-03-05,2024-03-09,5,Approved
19,6,1,2024-05-31,2024-06-04,5,Approved
20,6,3,2023-07-28,2023-08-06,10,Pending
21,6,2,2025-11-28,2025-11-30,3,Approved
22,6,1,2025-02-18,2025-02-19,2,Approved
23,6,1,2025-04-29,2025-04-30,2,Approved
24,6,1,2025-05-13,2025-05-15,3,Approved
25,7,3,2023-10-26,2023-10-30,5,Approved
26,7,2,2023-09-04,2023-09-08,5,Approved
27,7,1,2026-04-27,2026-05-06,10,Approved
28,8,2,2025-04-05,2025-04-14,10,Approved
29,8,2,2024-10-01,2024-10-10,10,Pending
30,8,1,2024-09-12,2024-09-12,1,Approved
31,8,1,2024-08-19,2024-08-19,1,Approved
32,8,2,2024-12-19,2024-12-23,5,Approved
33,9,1,2025-05-18,2025-05-18,1,Approved
34,9,1,2023-08-08,2023-08-08,1,Approved
35,9,1,2024-02-10,2024-02-19,10,Approved
36,9,3,2025-06-11,2025-06-11,1,Approved
37,9,2,2024-01-11,2024-01-11,1,Rejected
38,9,2,2025-06-06,2025-06-07,2,Approved
39,9,2,2025-09-16,2025-09-25,10,Pending
40,9,1,2026-04-16,2026-04-20,5,Approved
41,10,2,2025-04-04,2025-04-05,2,Approved
42,10,1,2024-09-05,2024-09-06,2,Approved
43,10,2,2024-07-08,2024-07-17,10,Rejected
44,10,2,2025-02-13,2025-02-13,1,Approved
45,10,1,2023-10-15,2023-10-19,5,Approved
46,10,1,2025-11-05,2025-11-05,1,Approved
47,12,1,2025-09-10,2025-09-12,3,Approved
48,12,2,2025-09-03,2025-09-04,2,Approved
49,12,1,2025-07-19,2025-07-20,2,Approved
50,12,2,2024-12-14,2024-12-14,1,Pending
51,12,2,2024-06-16,2024-06-20,5,Approved
52,12,1,2025-11-09,2025-11-09,1,Pending
53,13,2,2026-04-29,2026-04-29,1,Approved
54,13,3,2026-02-22,2026-02-23,2,Rejected
55,13,1,2024-06-02,2024-06-06,5,Approved
56,13,1,2024-03-01,2024-03-05,5,Approved
57,13,1,2025-10-04,2025-10-06,3,Approved
58,13,1,2024-11-01,2024-11-10,10,Approved
59,13,1,2023-12-26,2024-01-04,10,Approved
60,14,2,2026-06-18,2026-06-27,10,Pending
61,14,1,2026-06-22,2026-06-22,1,Approved
62,14,1,2026-05-07,2026-05-08,2,Pending
63,14,1,2026-03-02,2026-03-03,2,Approved
64,15,1,2025-08-03,2025-08-03,1,Approved
65,15,4,2024-03-10,2024-03-10,1,Approved
66,15,1,2024-11-12,2024-11-12,1,Approved
67,15,1,2026-02-21,2026-02-21,1,Approved
68,16,1,2026-06-17,2026-06-18,2,Approved
69,16,1,2026-04-02,2026-04-06,5,Approved
70,16,1,2026-03-31,2026-04-02,3,Approved
71,16,4,2026-04-13,2026-04-13,1,Approved
72,17,4,2024-10-16,2024-10-16,1,Approved
73,17,1,2024-01-10,2024-01-10,1,Approved
74,17,2,2024-01-03,2024-01-12,10,Rejected
75,17,1,2023-12-27,2024-01-05,10,Approved
76,17,2,2023-09-05,2023-09-09,5,Approved
77,17,1,2025-09-27,2025-09-27,1,Approved
78,17,1,2023-09-25,2023-09-25,1,Approved
79,17,1,2024-01-05,2024-01-14,10,Approved
80,18,1,2024-06-08,2024-06-17,10,Approved
81,18,3,2024-05-21,2024-05-21,1,Approved
82,18,1,2024-12-18,2024-12-18,1,Approved
83,18,2,2024-06-06,2024-06-07,2,Approved
84,18,2,2024-10-08,2024-10-12,5,Approved
85,18,1,2025-04-09,2025-04-09,1,Approved
86,18,3,2024-07-10,2024-07-12,3,Approved
87,18,1,2026-02-26,2026-03-07,10,Approved
88,19,4,2025-06-27,2025-06-29,3,Approved
89,19,1,2024-12-02,2024-12-06,5,Approved
90,20,4,2026-05-18,2026-05-18,1,Pending
91,20,1,2025-08-01,2025-08-05,5,Approved
92,20,2,2026-04-27,2026-04-28,2,Rejected
93,21,1,2025-03-15,2025-03-19,5,Approved
94,21,2,2025-05-20,2025-05-24,5,Approved
95,21,4,2025-06-29,2025-07-08,10,Approved
96,22,1,2026-01-19,2026-01-19,1,Approved
97,22,1,2024-01-07,2024-01-07,1,Approved
98,22,2,2024-07-05,2024-07-09,5,Approved
99,22,1,2026-03-28,2026-03-28,1,Approved
100,22,2,2025-11-23,2025-11-23,1,Rejected
101,22,2,2025-07-01,2025-07-02,2,Approved
102,23,1,2023-07-04,2023-07-04,1,Approved
103,23,1,2026-05-19,2026-05-19,1,Approved
104,23,2,2025-05-23,2025-05-24,2,Pending
105,24,1,2026-03-15,2026-03-19,5,Approved
