attendance_id,training_id,employee_id,attendance_date,completion_status
1,5,1,2023-08-30,No-show
2,2,2,2026-01-12,In Progress
3,8,4,2024-07-20,Completed
4,4,4,2026-01-07,In Progress
5,7,5,2026-03-09,Completed
6,10,5,2025-09-08,Completed
7,9,6,2023-07-15,Completed
8,4,6,2025-06-19,Completed
9,6,6,2024-02-22,In Progress
10,2,6,2023-08-18,In Progress
11,5,7,2026-03-14,Completed
12,7,7,2026-06-15,Completed
13,1,8,2025-08-20,Completed
14,7,9,2024-03-13,No-show
15,2,9,2024-11-22,Completed
16,1,9,2024-11-19,Completed
17,4,9,2026-01-24,Completed
18,2,10,2025-12-08,Completed
19,13,10,2024-03-01,Completed
20,5,10,2024-03-15,Completed
21,6,10,2026-04-08,Completed
22,13,12,2024-07-06,In Progress
23,4,12,2024-09-17,Completed
24,8,12,2026-04-08,Completed
25,8,14,2026-03-08,In Progress
26,5,14,2026-05-04,Completed
27,13,14,2026-05-22,Completed
28,8,15,2024-02-12,In Progress
29,1,15,2023-07-31,No-show
30,14,16,2026-05-01,Completed
31,10,16,2026-04-04,Completed
32,9,16,2026-04-07,Completed
33,9,17,2024-06-16,Completed
34,13,17,2023-08-12,In Progress
35,1,17,2026-02-19,Completed
36,7,17,2024-01-08,Completed
37,14,18,2026-06-03,Completed
38,6,18,2024-11-29,Completed
39,5,18,2026-03-10,Completed
40,3,18,2025-10-11,Completed
41,1,19,2026-03-24,Completed
42,5,19,2025-08-15,Completed
43,11,19,2025-01-09,Completed
44,6,19,2025-02-14,Completed
45,4,20,2025-06-24,Completed
46,6,21,2025-04-22,Completed
47,15,21,2026-05-04,Completed
48,11,21,2025-04-12,Completed
49,12,21,2025-09-26,Completed
50,11,23,2025-02-08,Completed
51,5,24,2026-06-13,Completed
52,11,24,2026-05-19,Completed
53,10,24,2026-06-08,Completed
54,8,24,2026-05-18,Completed
55,14,25,2026-04-16,In Progress
56,6,25,2026-02-22,Completed
57,15,25,2025-03-30,Completed
58,10,25,2026-01-17,Completed
59,5,27,2025-11-06,Completed
60,11,31,2025-12-15,Completed
61,9,31,2025-08-02,Completed
62,14,32,2025-01-23,No-show
63,1,32,2025-11-21,No-show
64,4,32,2023-11-14,Completed
65,10,33,2026-05-04,No-show
66,6,33,2025-06-27,In Progress
67,4,33,2025-01-08,No-show
68,11,33,2026-03-15,Completed
69,11,34,2026-05-15,Completed
70,3,34,2024-06-27,Completed
71,1,34,2025-07-04,Completed
72,13,34,2025-11-19,No-show
73,15,35,2026-05-21,Completed
74,6,35,2024-01-23,No-show
75,1,35,2025-05-14,In Progress
76,2,36,2025-10-05,In Progress
77,5,36,2025-07-21,Completed
78,14,36,2025-12-10,Completed
79,1,36,2026-04-18,Completed
80,10,38,2024-07-27,Completed
81,5,38,2026-05-31,In Progress
82,4,39,2025-02-05,Completed
83,1,40,2024-04-25,Completed
84,6,40,2024-11-22,Completed
85,9,40,2024-10-06,Completed
86,3,41,2026-05-07,No-show
87,2,41,2026-04-13,Completed
88,1,44,2026-06-17,Completed
89,8,44,2023-07-03,Completed
90,2,44,2025-12-25,In Progress
91,7,44,2024-09-05,Completed
92,5,45,2026-06-04,Completed
93,12,45,2025-03-27,Completed
94,4,46,2026-04-29,Completed
95,1,46,2026-01-16,Completed
96,6,46,2026-02-25,Completed
97,5,50,2024-06-11,Completed
98,12,50,2025-09-11,In Progress
99,15,50,2023-09-07,No-show
100,9,50,2025-10-23,Completed
101,3,51,2026-02-25,Completed
102,11,51,2026-05-27,Completed
103,3,52,2026-05-10,Completed
104,9,52,2026-03-24,Completed
105,12,53,2024-11-16,Completed
106,14,54,2024-11-16,Completed
107,1,54,2024-08-01,Completed
108,3,54,2025-08-04,Completed
109,8,54,2025-05-02,Completed
110,1,57,2024-06-03,Completed
111,7,57,2026-06-26,Completed
112,6,57,2025-12-15,Completed
113,14,58,2026-03-02,In Progress
114,3,58,2025-09-04,Completed
115,3,60,2025-03-07,Completed
116,9,60,2026-05-18,No-show
117,13,61,2025-11-30,In Progress
118,8,61,2025-01-10,In Progress
119,3,61,2023-09-01,Completed
120,2,62,2025-05-17,Completed
121,6,62,2026-05-23,In Progress
122,2,63,2025-05-07,Completed
123,7,63,2024-06-03,In Progress
124,13,63,2025-08-07,Completed
125,1,63,2023-11-05,Completed
126,11,64,2025-09-10,Completed
127,15,67,2026-01-10,Completed
128,2,69,2025-09-21,In Progress
129,9,69,2025-06-09,In Progress
130,7,69,2024-12-31,Completed
131,13,69,2023-09-12,No-show
132,4,71,2024-07-12,In Progress
133,9,71,2026-04-15,In Progress
134,5,72,2026-04-20,In Progress
135,14,72,2025-12-07,Completed
136,11,73,2024-03-04,Completed
137,3,73,2024-08-07,Completed
138,7,73,2026-04-24,Completed
139,2,74,2025-06-23,Completed
140,14,75,2025-09-04,Completed
