timesheet_id,employee_id,project_id,task_id,work_date,hours_logged,billable
1,1,7,44,2026-05-01,5.4,True
2,1,16,94,2026-03-27,1.75,True
3,1,26,158,2023-09-05,2.56,True
4,1,6,41,2026-04-10,4.62,True
5,1,25,155,2024-09-20,7.92,True
6,1,28,169,2024-12-20,3.11,False
7,1,15,87,2024-10-28,2.07,True
8,1,6,38,2024-08-27,6.54,True
9,1,18,105,2025-04-23,7.84,True
10,1,19,112,2024-04-03,7.72,False
11,1,28,171,2024-03-28,2.37,True
12,1,27,165,2025-09-12,4.17,True
13,1,3,16,2025-10-03,4.37,True
14,1,30,178,2026-03-26,2.95,True
15,1,21,131,2023-11-07,6.47,True
16,1,14,84,2024-12-31,2.92,True
17,1,18,110,2025-06-03,7.21,False
18,1,2,,2026-01-27,0.62,False
19,1,7,42,2025-03-10,1.69,False
20,1,9,,2025-07-08,2.38,True
21,1,29,172,2025-09-19,5.19,True
22,1,25,151,2024-01-11,0.51,True
23,1,5,36,2023-07-20,0.56,True
24,1,4,27,2024-03-27,4.08,True
25,1,13,75,2024-04-18,1.01,True
26,1,20,122,2025-06-19,5.92,True
27,1,5,36,2024-09-17,1.15,True
28,1,25,154,2025-06-19,7.72,True
29,1,5,30,2024-11-20,4.65,True
30,1,20,124,2023-08-24,6.86,True
31,1,7,43,2023-10-20,6.38,False
32,1,8,45,2024-11-05,4.25,True
33,1,17,97,2025-07-09,7.5,True
34,1,28,169,2025-07-18,4.6,True
35,1,16,91,2023-08-04,4.91,True
36,1,7,,2023-11-01,7.62,True
37,1,10,59,2025-10-28,3.68,True
38,1,3,20,2024-08-20,7.81,True
39,1,11,63,2025-03-27,5.74,True
40,1,10,60,2024-06-24,1.4,True
41,1,12,72,2024-12-12,1.75,True
42,1,25,151,2023-08-30,3.01,True
43,1,17,,2023-12-05,4.22,True
44,1,2,10,2025-07-23,1.68,False
45,1,29,174,2024-02-22,2.21,True
46,1,2,8,2024-11-12,0.84,True
47,1,30,175,2025-11-05,2.18,True
48,1,30,177,2023-12-07,4.79,True
49,1,22,135,2024-09-30,6.53,False
50,1,28,168,2025-05-01,1.15,True
51,1,12,72,2025-03-14,6.05,True
52,1,24,150,2024-11-14,1.63,False
53,1,1,3,2023-07-20,7.63,True
54,1,22,136,2024-01-29,2.04,False
55,1,14,81,2024-04-17,5.84,True
56,1,30,179,2025-10-23,5.76,True
57,1,24,,2024-01-12,4.29,True
58,1,10,57,2025-09-12,5.76,True
59,1,11,65,2023-11-30,7.58,True
60,1,25,152,2024-02-02,1.73,True
61,1,14,83,2024-08-29,3.89,True
62,1,27,164,2023-09-21,2.11,False
63,1,5,,2024-11-20,7.76,True
64,1,2,12,2024-06-21,0.73,True
65,1,15,88,2024-01-10,3.97,False
66,1,5,35,2025-08-01,5.65,False
67,1,3,18,2023-12-01,0.66,True
68,1,29,172,2024-01-05,7.29,False
69,1,11,69,2023-10-12,1.76,True
70,1,27,163,2023-08-30,3.37,True
71,1,12,70,2025-01-14,2.6,False
72,1,2,11,2025-02-24,4.24,False
73,1,16,,2025-01-23,3.37,True
74,1,21,129,2023-08-09,7.92,False
75,1,12,71,2025-06-04,7.35,True
76,1,13,73,2025-04-14,4.98,True
77,1,6,38,2024-12-27,4.5,False
78,1,19,117,2025-06-26,7.51,False
79,1,23,142,2024-04-17,4.72,True
80,1,26,159,2025-03-24,1.82,True
81,1,2,11,2023-08-10,4.45,True
82,1,30,176,2025-05-28,5.88,False
83,1,28,166,2023-08-14,1.61,True
84,1,12,72,2025-09-18,4.9,True
85,1,11,64,2025-12-11,6.44,False
86,1,21,131,2024-09-30,5.49,False
87,1,6,41,2025-09-09,6.88,False
88,1,30,179,2024-09-25,5.3,True
89,1,16,96,2023-12-07,2.28,False
90,1,15,,2024-09-02,2.37,True
91,1,13,79,2024-06-05,7.13,True
92,1,13,79,2024-01-24,6.72,False
93,1,19,114,2024-05-29,3.88,False
94,1,2,13,2024-12-16,7.64,True
95,1,6,38,2023-12-01,4.6,False
96,1,20,120,2023-10-18,1.26,True
97,1,7,44,2024-12-25,5.45,True
98,1,4,,2026-04-01,1.65,True
99,1,14,,2026-03-10,2.0,True
100,1,6,37,2026-02-24,6.83,True
101,1,13,77,2024-01-03,5.31,True
102,1,12,71,2024-07-17,3.84,True
103,1,22,137,2024-10-08,4.65,False
104,1,27,164,2026-02-27,4.8,True
105,1,4,28,2024-06-19,7.62,True
106,1,7,42,2023-09-26,3.68,False
107,1,27,162,2023-11-15,1.15,True
108,1,15,87,2026-06-05,6.36,True
109,1,5,30,2024-02-02,4.72,True
110,2,9,53,2026-02-23,0.78,True
111,2,5,35,2023-09-18,3.47,False
112,2,30,177,2023-08-11,3.03,False
113,2,10,58,2024-01-18,7.79,True
114,2,10,58,2025-04-18,2.52,True
115,2,7,43,2026-03-19,6.2,False
116,2,27,,2024-05-21,0.99,True
117,2,13,73,2024-06-20,1.95,False
118,2,27,,2023-09-06,3.92,False
119,2,23,140,2026-02-05,4.29,True
120,2,4,24,2025-08-01,4.17,True
121,2,28,170,2025-06-16,3.08,False
122,2,9,50,2025-02-03,0.71,True
123,2,28,167,2024-09-26,5.36,True
124,2,9,54,2023-08-11,6.98,False
125,2,22,,2024-03-27,5.36,True
126,2,1,5,2025-03-17,5.85,True
127,2,15,90,2025-03-10,5.58,False
128,2,13,73,2026-05-13,8.0,False
129,2,27,165,2025-01-29,2.74,True
130,2,28,171,2025-03-03,1.91,True
131,2,22,135,2023-08-22,5.42,False
132,2,9,53,2025-09-03,6.03,True
133,2,22,137,2025-07-04,4.3,False
134,2,27,164,2024-07-05,2.7,True
135,2,24,150,2024-07-09,7.6,False
136,2,21,,2025-06-27,2.17,False
137,2,14,83,2025-07-31,2.45,True
138,2,28,166,2023-11-23,4.04,True
139,2,5,34,2025-10-16,7.9,False
140,2,15,88,2023-12-13,4.16,True
141,2,6,37,2023-07-10,3.89,True
142,2,26,156,2024-03-22,5.11,True
143,2,1,,2024-08-12,5.98,False
144,2,29,174,2024-07-25,0.63,True
145,2,24,149,2025-06-05,2.84,True
146,2,15,89,2025-12-05,7.16,False
147,2,25,154,2023-08-09,2.21,True
148,2,5,29,2026-04-29,1.77,True
149,2,21,132,2024-12-05,6.28,True
